test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,1.333949881800198,0.24810374350599568,1,0.13190000026952475,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,13,2868402048173145336,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,1.4341434619282194,0.2310894118518982,1,0.09259999933419749,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,13,2868402048173145336,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,1.4569030242645127,0.2274235254853807,1,0.056899996707215905,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,13,2868402048173145336,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.8270245913400763,0.3631343128765888,1,0.130899999930989,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,13,2868402048173145336,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.26406666382832156,0.6073399667698636,1,0.12820000119972974,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,14,8548216248079561584,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.2677661684923563,0.6048341967498314,1,0.08660000457894057,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,14,8548216248079561584,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.265039483668879,0.6066789091289517,1,0.05160000000614673,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,14,8548216248079561584,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.33017586830363155,0.5655555487950932,1,0.12090000382158905,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,14,8548216248079561584,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.012941203741479033,0.9094285144559714,1,0.11950000043725595,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,15,7338243660904050538,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.012947023589647182,0.9094082388059753,1,0.08310000703204423,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,15,7338243660904050538,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.012950430369784272,0.9093963721362306,1,0.05099999543745071,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,15,7338243660904050538,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.012451322188139336,0.9111520753005925,1,0.11679999443003908,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,15,7338243660904050538,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.00729137267322497,0.9319517127032634,1,0.149200001033023,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,16,6064463372350678533,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
